Karen L French
Karin Krommes
Katarina Szajkoova
Kate Atkin
Kate Braine 
Kate Giles
Kate Groobey
Kate Gwynn
Kate Lovegrove
Kate Lynch
Kate Malone
Kate Viner
Katerina Stavrou
Katharine Church
Katherine Fawssett
Kathia Dubron
Kathleen Hale
Keith Bowen
Keith Grant
Keith Shackleton
Kelly Gardner
Kelvin Okafor
Ken Howard
Ken Moroney
Kenneth Armitage
Kerry Jameson
Kerry Royle
Kerstin Brätsch
Kevin Alun Parrish
Kevin Sinnott
Khadija Cecile Niang
Kieron Farrow
Kim Booker
Kim Francis
Kit Andrews (The Cornish Potter)
Kitty Wilmer O'Brien
Kurt Jackson
Lachlan Goudie
Laila Shawa
Lakwena 
Lana Locke
Lars Stenberg
Latifah Stranack
Laura Footes
Laura Ford
Laura Holmes
Laura Knight
Dame Laura Knight
Laurence Fish
Lawrence Gowing
Lawrence Toynbee
Lawrie Simonson
Lawson Wood
Leah Simmons
Lee Campbell
Lelia Pissarro
Lenz Geerk
Leo Davy
Leon Kossoff
Leon Morrocco
Leon Underwood
Leonard Campbell Taylor
Leonard McComb
Leonie Cameron
Leonor Antunes
Leonor Fini
Leslie Arthur Wilcox
Letitia Hamilton
Lewis Graham
Liam Hanley
Liane Lang
Lili Murphy-Johnson
Liliane Lijn
Lillian Delevoryas
Lily Hargreaves
Lily Snowden-Fine
Lina Scheynius
Lincoln Seligman
Linda Benton
Lindsey Bull
Lindsey Jean McLean
Lindsey Lavender
Lindy Guinness
Lionel Aggett
Lionel Bulmer
Lionel Dalhousie Edwards
Lionel Hamilton Renwick
Lisa Carter Grist
Lisa Milroy
Lisa Stokes
Lise Sarfati
Liz Wright
Lizzy Kelsey
Lloyd Le Blanc
Lord Berners
Lorena Levi
Lotte Meitner-Graf
Lottie Davies
Louis Dodd
Louis Ginnett
Louise Abel
Louise Balaam
Louise Cook
Loustal
Luc Choquer
Luc Delahaye
Lucian Freud
Lucie Rie
Lucie Rie & Hans Coper
Lucien Clergue
Lucien Pissarro
Lucinda Ireland
Lucinda Methven
Lucrezia Abatzoglu
Lucy Austin
Lucy Harwood
Lucy Innes Williams
Lucy Kinsella
Lucy Raverat
Lucy Temple
Luke Elwes
Luke Martineau
Lydia Blakeley
Lydia Corbett (Sylvette David)
Lynn Chadwick
Lynne Cartlidge
Maarten Baas
Mabel Lucie Attwell
Mackie
Madame Yevonde
Maddie Webb
Maddy Buttling
Madeline Green
Magdalene Odundo
Maggi Hambling
Magnus Gjoen
Magnus Plessen
Mainie Jellett
Mairi Hedderwick
Maisie Cousins
Makiko Nakamura
Malcolm English
Malcolm Hughes
Malcolm Lochhead
Manolis Grigoreas
Mantis
Marc Garanger
Marc Lacroix
Marc Riboud
Marc Ricourt
Marc Standing
Marc Vaux
Marcelino Truong
Marcelle Hanselaar
Marco Miehling
Marcus Doyle
Marcus James
Marcus Lyon
Margaret Green
Margaret Hartnett
Margaret Lovell
Margaret Loxton
Margaret Merry
Margarita Franceska Loze
Maria Andrievskaya
Maria Durrant
Maria Hogbacke
Mariano Andreu
Marieta Chirulescu
Marius Bercea 
Mark Adlington
Mark Bennett
Mark Boxer
Mark Cazalet
Mark Cockram
Mark Coreth
Mark Demsteader
Mark Hayward
Mark Reed
Mark Spray
Mark Stoddart
Markus Brunetti
Maro Gorky
Martha Parsey
Martin Aynscomb Harris
Martin Bradley
Martín Chirino
Martin Creed
Martin Fuller
Martin James Harris
Martin Jarrie
Martin Kinder-Niven
Martin Kobe
Martin Veyron
Martin Yeoman
Martine Franck
Martine Mougin
Martine Voyeux
Martino Gamper
Martyn Chalk
Martynas Kliucininkas
Mary Armour
Mary Bauermeister
Mary Critchley-Salmonson
Mary Fedden
Mary Lloyd-Jones
Mary Newcomb
Mary Penelope Jackson
Mary Skempton
Marzia Colonna
Mat Collishaw
Mathew Weir
Matt Small
Matthew Carr
Matthew Collings
Matthew Grayson
Matthew Hilton
Matthew Smith
Matti Braun
Mattko / Matthew Smith
Maurice Sheppard
Max Beerbohm
Max Chevallier
Max Prus
Maxwell Armfield
May Cornet
Maya Gurung-Russell Campbell
Maylee Christie
Mefio
Melissa Scott Miller
Melitta Nemeth
Merlin James
Merlyn Evans
Mervyn Peake
Micha Klein
Michael Alford
Michael Austin
Michael Ayrton
Michael Bauer
Michael Bellis
Michael Buhler
Michael Canney
Michael Canning
Michael Chaitow
Michael Clark b.1954
Michael Craig Martin
Michael Druks
Michael Farrell
Michael Flynn
Michael Frith
Michael Heindorff
Michael Kenny
Michael Kidner
Michael Lyne
Michael Lyons
Michael McGuinness
Michael Noakes
Michael Rothenstein
Michael Sandle
Michael Stokoe
Michael Taylor b.1963
Michael Vaughan
Michael Whitehand
Michaela Yearwood-Dan
Micheál de Búrca
Michel Aubert
Michel Baudoin
Michel Bultet
Michel Semeniako
Michèle Maurin
Michelle Hold
Michelle Molyneux
Michelle Rebecca
Mick Rooney
Mihnea Vãde
Mike Bouchet
Mike Briscoe
Mikhail Brussilovsky
Mikhail Roginsky
Mildred Bendall
Miranda Donovan
Miranda Webster
Miriam Escofet
Mohini Chatlani
Morgane Pairain
Morganico
Mr Doodle
Mr Doodle & Shem
Myles Murphy
Nada Elkalaawy
Namik Ozturk
Nancy Milner
Nancy Mitford
Nancy Wynne-Jones
Naomi Alexander
Naomi Frears
Natalie Gray
Natalie Percy
Natasha Georgina Faiers
Nathan Coley
Nathan Khan
Neil Canning
Neil Eckersley (OLY)
Neil Lawson Baker
Neil Libbert
Neil Raitt
Neil Stokoe
Nettle Grellier
Niamh Birch
Niccolò Rossi
Nicholas Barnham
Nicholas Byrne
Nicholas Egon
Nicholas Garland
Nicholas Jones
Nicholas Pace
Nicholas Peall
Nicholas Pope
Nicholas Ridley
Nicholas V. K.
Nick Allen
Nick Bashall
Nick Carter
Nick Cudworth
Nick Diggory
Nick Gentry
Nick Hugh McCann
Nick Trotman
Nick Wadley
Nicolas Ruston
Nicolette Meeres
Nigel Boonham
Nigel Hall 
Nigel Hawthorn
Nigel Henderson
Nikos Engonopoulos ∑
Nikos Ghika/Nikos Hadjikyriakos-Ghika
Nikos Kessanlis
Nina Hamnett
Nina Mae Fowler
Nina Murdoch
Ninetta Butterworth
Nnenna Okore
Noel Coward
Noelia Towers
Noemi Conan
Norah McGuinness
Norbert Kricke
Norman Ackroyd
Norman Gilbert
Norman Hepple
Norman Parkinson
Norman Thelwell
Odile Kidd
Oh de Laval
Olga Mun
Olha Pryymak
Oliver Akers Douglas
Oliver Hoffmeister
Oliver Jones
Oliver Messel
Oliver Osborne
Olivia Fraser
Olivia Musgrave
Olivier Rebufa
Olivier Schwartz
Orlanda Broom
Oscar Crabb
Oscar Mellor
Oscar Nemon
Oswald Birley
Otto Pippel
Owen Bowen
Pablo Bronstein
Pamela Scott Wilkie
Paris Prekas ∑
Partou Zia
Pato Bosich
Patricia Desmarquet
Patricia Espir
Patricia Schreiber
Patricia Scott
Patrick Bailly-Maitre-Grand
Patrick Caulfield
Patrick Hughes
Patrick Oliver
Patrick Swift
Patrick Zachmann
Pattie Boyd
Paul Almasy
Paul Benney
Paul Butler
Paul Cannell
Paul Dainton
Paul Drury
Paul Feiler
Paul Gribble
Paul Hodgson
Paul Huxley
Paul Kleinschmidt
Paul Lewey
Paul Maze
Paul Morley
Paul Richards
Paul S Brown
Paul Sandilands
Paul Winstanley
Paul Wunderlich
Paula Rego
Paule Vezelay
Pauline Boty
Peggy Somerville
Pejman Ebadi 
Penelope Anstice
Percy Kelly
Pernilla Iggstrom
Peter Barrett
Peter Breeden
Peter Brown
Peter Bunting
Peter Clossick
Peter Coker
Peter Collingwood
Peter Combes
Peter Curling 
Peter Edwards
Peter Graham
Peter Greenham
Peter Kennard
Peter King
Peter Kinley
Peter Marlow
Peter McClure
Peter Miller
Peter Newcombe
Peter Samuelson
Peter Sedgley
Peter Spens
Peter Thursby
Peter Wilson
Petrina Hicks
Phil Shaw
Philip Jones Griffiths
Philip Sutton
Philippe Blache
Philippe Bonan
Philippe Chancel
Philippe Halsman
Phoebe Donovan
Phoebe Unwin
